loss,mean_squared_error,val_loss,val_mean_squared_error,lr,rmse,val_rmse
0.002846000483260,0.002846003277227,0.007684308104217,0.007684309035540,0.001000000047497,0.053347945388993,0.087660190711292
0.000908184505533,0.000908184563741,0.003651996841654,0.003651997074485,0.001000000047497,0.030136100672466,0.060431755513844
0.000326513953041,0.000326513749314,0.000242810187046,0.000242810216150,0.001000000047497,0.018069691455971,0.015582368759274
0.000182308212970,0.000182308140211,0.000167882186361,0.000167882200913,0.001000000047497,0.013502153169439,0.012956936401519
0.000299174367683,0.000299174425891,0.000222254675464,0.000222254631808,0.001000000047497,0.017296659385297,0.014908206860921
0.000220734218601,0.000220734233153,0.000061311555328,0.000061311540776,0.001000000047497,0.014857127351982,0.007830168630113
0.000094703704235,0.000094703696959,0.000108149237349,0.000108149259177,0.001000000047497,0.009731582448862,0.010399483601458
0.000052311883337,0.000052311868785,0.000052899500588,0.000052899522416,0.001000000047497,0.007232694434649,0.007273205786722
0.000035401193600,0.000035401204514,0.000046418652346,0.000046418652346,0.001000000047497,0.005949891134634,0.006813123538143
0.000033626485674,0.000033626492950,0.000050168597227,0.000050168608141,0.001000000047497,0.005798835482233,0.007082980173698
0.000011702464690,0.000011702469237,0.000033455704397,0.000033455715311,0.000200000009499,0.003420887200274,0.005784091571803
0.000008857353350,0.000008857349712,0.000034104385122,0.000034104374208,0.000200000009499,0.002976129989097,0.005839895051112
0.000008117559446,0.000008117561265,0.000033300035284,0.000033300038922,0.000200000009499,0.002849133423517,0.005770618590931
0.000007550327155,0.000007550327609,0.000032538286177,0.000032538286177,0.000200000009499,0.002747785946721,0.005704234056997
0.000007042700418,0.000007042700418,0.000034505104850,0.000034505101212,0.000040000002627,0.002653808662658,0.005874104290188
0.000006923669389,0.000006923667570,0.000034288106690,0.000034288106690,0.000040000002627,0.002631286295712,0.005855604724535
0.000006820516319,0.000006820516319,0.000034032109397,0.000034032102121,0.000040000002627,0.002611611823951,0.005833703979548
0.000006712745744,0.000006712748018,0.000033708736737,0.000033708736737,0.000040000002627,0.002590897145392,0.005805922556924
0.000006578120974,0.000006578118246,0.000033153934055,0.000033153930417,0.000008000000889,0.002564784249406,0.005757944982110
0.000006548566034,0.000006548564670,0.000033058458939,0.000033058455301,0.000008000000889,0.002559016348131,0.005749648276286
0.000006520929219,0.000006520924671,0.000032986183214,0.000032986190490,0.000008000000889,0.002553610125097,0.005743360557200
0.000006493192359,0.000006493191449,0.000032941432437,0.000032941428799,0.000008000000889,0.002548174140242,0.005739462413763
0.000006459242286,0.000006459242286,0.000033028874896,0.000033028871258,0.000001600000132,0.002541503941764,0.005747075017607
0.000006451325135,0.000006451326954,0.000033033524232,0.000033033527870,0.000001600000132,0.002539946250219,0.005747480132197
0.000006444216069,0.000006444218343,0.000033029908082,0.000033029904444,0.000001600000132,0.002538546502036,0.005747164904890
0.000006436875083,0.000006436873718,0.000033005635487,0.000033005639125,0.000001600000132,0.002537099469473,0.005745053448402
0.000006427101653,0.000006427102107,0.000033014282963,0.000033014279325,0.000000320000026,0.002535172993506,0.005745805367831
0.000006425423180,0.000006425424544,0.000033017553505,0.000033017553505,0.000000320000026,0.002534842114215,0.005746090279921
0.000006423712875,0.000006423711966,0.000033017651731,0.000033017659007,0.000000320000026,0.002534504284076,0.005746099460243
0.000006421833859,0.000006421831131,0.000033015654481,0.000033015647205,0.000000320000026,0.002534133210982,0.005745924399520
0.000006418850262,0.000006418851171,0.000033015479858,0.000033015479858,0.000000064000005,0.002533545178401,0.005745909837267
0.000006418396424,0.000006418395060,0.000033014410292,0.000033014410292,0.000000064000005,0.002533455162421,0.005745816764569
0.000006417979421,0.000006417977147,0.000033014857763,0.000033014850487,0.000000064000005,0.002533372682216,0.005745855070135
0.000006417482382,0.000006417481927,0.000033014792280,0.000033014792280,0.000000064000005,0.002533274941059,0.005745850005004
0.000006416842552,0.000006416840733,0.000033015159715,0.000033015159715,0.000000012800001,0.002533148383534,0.005745881978861
0.000006416841188,0.000006416843462,0.000033016902307,0.000033016905945,0.000000012800001,0.002533148922192,0.005746033931765
0.000006416791166,0.000006416790256,0.000033017611713,0.000033017611713,0.000000012800001,0.002533138420221,0.005746095344928
0.000006416687938,0.000006416688393,0.000033019950934,0.000033019954572,0.000000012800001,0.002533118314055,0.005746299206620
0.000006416579254,0.000006416578799,0.000033020260162,0.000033020256524,0.000000002560000,0.002533096681732,0.005746325480166
0.000006416536507,0.000006416534234,0.000033019812690,0.000033019827242,0.000000002560000,0.002533087885171,0.005746288127304
0.000006416582892,0.000006416581982,0.000033021195122,0.000033021195122,0.000000002560000,0.002533097310014,0.005746407148993
0.000006416578344,0.000006416581073,0.000033021580748,0.000033021584386,0.000000002560000,0.002533097130589,0.005746441019100
0.000006416554243,0.000006416556516,0.000033020311093,0.000033020311093,0.000000000512000,0.002533092283356,0.005746330228328
0.000006416549695,0.000006416550605,0.000033020420233,0.000033020416595,0.000000000512000,0.002533091116600,0.005746339408267
0.000006416562883,0.000006416564247,0.000033021533454,0.000033021522540,0.000000000512000,0.002533093809356,0.005746435637854
0.000006416572432,0.000006416571068,0.000033021544368,0.000033021544368,0.000000000512000,0.002533095155733,0.005746437537118
0.000006416555152,0.000006416550150,0.000033020482078,0.000033020478440,0.000000000102400,0.002533091026789,0.005746344789516
0.000006416555152,0.000006416549240,0.000033020591218,0.000033020591218,0.000000000102400,0.002533090847167,0.005746354602528
0.000006416554243,0.000006416549695,0.000033020980482,0.000033020987757,0.000000000102400,0.002533090936978,0.005746389105952
0.000006416549240,0.000006416544693,0.000033021027775,0.000033021020499,0.000000000102400,0.002533089949646,0.005746391954870
0.000006416553788,0.000006416548786,0.000033020871342,0.000033020871342,0.000000000020480,0.002533090757553,0.005746378976538
0.000006416553788,0.000006416548786,0.000033021533454,0.000033021529816,0.000000000020480,0.002533090757553,0.005746436270942
0.000006416553788,0.000006416549240,0.000033021602576,0.000033021602576,0.000000000020480,0.002533090847167,0.005746442601819
0.000006416553788,0.000006416548786,0.000033021602576,0.000033021602576,0.000000000020480,0.002533090757553,0.005746442601819
0.000006416553788,0.000006416548786,0.000033021606214,0.000033021606214,0.000000000004096,0.002533090757553,0.005746442918363
0.000006416553788,0.000006416548786,0.000033021609852,0.000033021609852,0.000000000004096,0.002533090757553,0.005746443234906
0.000006416553788,0.000006416548786,0.000033021609852,0.000033021609852,0.000000000004096,0.002533090757553,0.005746443234906
0.000006416553788,0.000006416549695,0.000033021609852,0.000033021606214,0.000000000004096,0.002533090936978,0.005746442918363
0.000006416553788,0.000006416548786,0.000033021609852,0.000033021602576,0.000000000000819,0.002533090757553,0.005746442601819
0.000006416553788,0.000006416549240,0.000033021602576,0.000033021609852,0.000000000000819,0.002533090847167,0.005746443234906
0.000006416553788,0.000006416548786,0.000033021606214,0.000033021609852,0.000000000000819,0.002533090757553,0.005746443234906
0.000006416553788,0.000006416548786,0.000033021606214,0.000033021613490,0.000000000000819,0.002533090757553,0.005746443551450
0.000006416553788,0.000006416548786,0.000033021606214,0.000033021613490,0.000000000000164,0.002533090757553,0.005746443551450
0.000006416553788,0.000006416548786,0.000033021609852,0.000033021613490,0.000000000000164,0.002533090757553,0.005746443551450
0.000006416553788,0.000006416549240,0.000033021602576,0.000033021609852,0.000000000000164,0.002533090847167,0.005746443234906
0.000006416553788,0.000006416549240,0.000033021606214,0.000033021609852,0.000000000000164,0.002533090847167,0.005746443234906
0.000006416553788,0.000006416549240,0.000033021609852,0.000033021606214,0.000000000000033,0.002533090847167,0.005746442918363
0.000006416553788,0.000006416549695,0.000033021613490,0.000033021606214,0.000000000000033,0.002533090936978,0.005746442918363
0.000006416553788,0.000006416548786,0.000033021609852,0.000033021602576,0.000000000000033,0.002533090757553,0.005746442601819
0.000006416553788,0.000006416549240,0.000033021609852,0.000033021602576,0.000000000000033,0.002533090847167,0.005746442601819
0.000006416553788,0.000006416549240,0.000033021609852,0.000033021606214,0.000000000000007,0.002533090847167,0.005746442918363
0.000006416553788,0.000006416548786,0.000033021606214,0.000033021602576,0.000000000000007,0.002533090757553,0.005746442601819
0.000006416553788,0.000006416549240,0.000033021609852,0.000033021602576,0.000000000000007,0.002533090847167,0.005746442601819
0.000006416553788,0.000006416549240,0.000033021609852,0.000033021602576,0.000000000000007,0.002533090847167,0.005746442601819
0.000006416553788,0.000006416548786,0.000033021609852,0.000033021602576,0.000000000000001,0.002533090757553,0.005746442601819
0.000006416553788,0.000006416549695,0.000033021606214,0.000033021602576,0.000000000000001,0.002533090936978,0.005746442601819
0.000006416553788,0.000006416549240,0.000033021606214,0.000033021602576,0.000000000000001,0.002533090847167,0.005746442601819
0.000006416553788,0.000006416548786,0.000033021606214,0.000033021602576,0.000000000000001,0.002533090757553,0.005746442601819
0.000006416553788,0.000006416548786,0.000033021609852,0.000033021602576,0.000000000000000,0.002533090757553,0.005746442601819
0.000006416553788,0.000006416549240,0.000033021609852,0.000033021602576,0.000000000000000,0.002533090847167,0.005746442601819
0.000006416553788,0.000006416548786,0.000033021606214,0.000033021602576,0.000000000000000,0.002533090757553,0.005746442601819
0.000006416553788,0.000006416548786,0.000033021606214,0.000033021602576,0.000000000000000,0.002533090757553,0.005746442601819
0.000006416553788,0.000006416549240,0.000033021606214,0.000033021602576,0.000000000000000,0.002533090847167,0.005746442601819
0.000006416553788,0.000006416549240,0.000033021602576,0.000033021598938,0.000000000000000,0.002533090847167,0.005746442285275
0.000006416553788,0.000006416549240,0.000033021606214,0.000033021602576,0.000000000000000,0.002533090847167,0.005746442601819
0.000006416553788,0.000006416549695,0.000033021606214,0.000033021602576,0.000000000000000,0.002533090936978,0.005746442601819
0.000006416553788,0.000006416549240,0.000033021602576,0.000033021606214,0.000000000000000,0.002533090847167,0.005746442918363
0.000006416553788,0.000006416548786,0.000033021606214,0.000033021602576,0.000000000000000,0.002533090757553,0.005746442601819
0.000006416553788,0.000006416548786,0.000033021602576,0.000033021606214,0.000000000000000,0.002533090757553,0.005746442918363
0.000006416553788,0.000006416549240,0.000033021602576,0.000033021606214,0.000000000000000,0.002533090847167,0.005746442918363
0.000006416553788,0.000006416549240,0.000033021602576,0.000033021609852,0.000000000000000,0.002533090847167,0.005746443234906
0.000006416553788,0.000006416549240,0.000033021606214,0.000033021609852,0.000000000000000,0.002533090847167,0.005746443234906
0.000006416553788,0.000006416548786,0.000033021606214,0.000033021609852,0.000000000000000,0.002533090757553,0.005746443234906
0.000006416553788,0.000006416549695,0.000033021602576,0.000033021613490,0.000000000000000,0.002533090936978,0.005746443551450
0.000006416553788,0.000006416549695,0.000033021602576,0.000033021606214,0.000000000000000,0.002533090936978,0.005746442918363
0.000006416553788,0.000006416548786,0.000033021606214,0.000033021609852,0.000000000000000,0.002533090757553,0.005746443234906
0.000006416553788,0.000006416548786,0.000033021609852,0.000033021606214,0.000000000000000,0.002533090757553,0.005746442918363
0.000006416554243,0.000006416548786,0.000033021606214,0.000033021606214,0.000000000000000,0.002533090757553,0.005746442918363
0.000006416553788,0.000006416548786,0.000033021609852,0.000033021609852,0.000000000000000,0.002533090757553,0.005746443234906
